,Patterns,percent_ann_xlnet_htfl.pkl,percent_ann_xlnet_wind.pkl,percent_ann_xlnet_equi.pkl,percent_ann_xlnet_corp.pkl,percent_nes_xlnet_htfl.pkl,percent_nes_xlnet_wind.pkl,percent_nes_xlnet_equi.pkl,percent_nes_xlnet_corp.pkl
0,NON_PATTERN_F1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,ADJ_NOUN_F1,104.65,98.11,96.61,97.18,102.49,98.92,97.59,99.45
2,NOUN_NOUN_F1,96.55,82.34,94.05,89.2,97.17,88.78,94.81,91.51
3,ADJ_ADJ_NOUN_F1,101.01,99.47,99.63,99.11,100.54,99.31,99.75,99.07
4,ADJ_NOUN_NOUN_F1,99.35,98.96,99.4,99.37,99.68,98.75,99.43,99.43
5,NOUN_ADJ_NOUN_F1,100.11,99.28,99.8,99.41,99.95,99.31,99.75,99.55
6,NOUN_NOUN_NOUN_F1,99.95,99.45,99.77,99.59,100.32,99.31,99.88,99.75
7,NOUN_ADP_NOUN_F1,97.09,96.21,97.82,95.64,97.29,97.18,98.01,96.22
8,NOUN_ADP_ADJ_NOUN_F1,99.1,98.41,99.43,98.54,99.24,98.7,99.46,98.71
9,ADJ_NOUN_ADP_NOUN_F1,99.29,99.17,100.0,98.89,99.48,99.57,99.9,99.19
10,NOUN_ADP_NOUN_NOUN_F1,99.1,98.55,99.63,98.93,99.24,98.84,99.78,99.09
11,ADJ_NOUN_ADP_ADJ_NOUN_F1,99.76,99.65,99.91,99.82,99.85,99.69,99.9,99.89
12,ADV_ADJ_NOUN_F1,99.67,99.35,99.51,99.55,99.83,99.51,99.36,99.66
13,NOUN_PRON_F1,100.22,98.31,99.4,99.78,100.2,98.95,99.7,99.81
14,ADJ_NOUN_ADJ_NOUN_F1,99.97,99.98,99.97,99.96,100.05,99.93,99.98,99.96
